IDCorto,Metadato,Requerido,CMISPropertyId
CN01,CIF,Yes,cmcourier:BAC_CIF
CN01,Nombre_Cliente,Yes,cmcourier:Nombre_Cliente
CN01, Short_Name,Yes,cmcourier:Short_Name
CN01, Fvenc_Inicio,Yes,cmcourier:Fvenc_Inicio
CN01, Fvenc_Fin,Yes,cmcourier:Fvenc_Fin
CN02,CIF,Yes,
CN02,Nombre_Cliente,Yes,
CN02, Short_Name,Yes,
CN02, Fvenc_Inicio,Yes,
CN02, Fvenc_Fin,Yes,
CN03,CIF,Yes,
CN03,Nombre_Cliente,Yes,
CN03, Short_Name,Yes,
CN03, Fvenc_Inicio,Yes,
CN03, Fvenc_Fin,Yes,
CN04,CIF,Yes,
CN04,Nombre_Cliente,Yes,
CN04, Short_Name,Yes,
CN05,CIF,Yes,
CN05,Nombre_Cliente,Yes,
CN05, Short_Name,Yes,
CN06,CIF,Yes,
CN06,Nombre_Cliente,Yes,
CN06, Short_Name,Yes,
CN07,CIF,Yes,
CN07,Nombre_Cliente,Yes,
CN07, Short_Name,Yes,
CN08,CIF,Yes,
CN08,Nombre_Cliente,Yes,
CN08, Short_Name,Yes,
CN09,CIF,Yes,
CN09,Nombre_Cliente,Yes,
CN09, Short_Name,Yes,
CN09, Fvenc_Inicio,Yes,
CN09, Fvenc_Fin,Yes,
CN10,CIF,Yes,
CN10,Nombre_Cliente,Yes,
CN10, Short_Name,Yes,
CN11,CIF,Yes,
CN11,Nombre_Cliente,Yes,
CN11, Short_Name,Yes,
CN12,CIF,Yes,
CN12,Nombre_Cliente,Yes,
CN12, Short_Name,Yes,
CN12,CIF,Yes,
CN12,Nombre_Cliente,Yes,
CN12, Short_Name,Yes,
CN14,CIF,Yes,
CN14,Nombre_Cliente,Yes,
CN14, Short_Name,Yes,
CN15,CIF,Yes,
CN15,Nombre_Cliente,Yes,
CN15, Short_Name,Yes,
CN16,CIF,Yes,
CN16,Nombre_Cliente,Yes,
CN16, Short_Name,Yes,
CN17,CIF,Yes,
CN17,Nombre_Cliente,Yes,
CN17, Short_Name,Yes,
CN17, Fecha_Firma,Yes,
CN18,CIF,Yes,
CN18,Nombre_Cliente,Yes,
CN18, Short_Name,Yes,
CN19,CIF,Yes,
CN19,Nombre_Cliente,Yes,
CN19, Short_Name,Yes,
CN20,CIF,Yes,
CN20,Nombre_Cliente,Yes,
CN20, Short_Name,Yes,
CN21,CIF,Yes,
CN21,Nombre_Cliente,Yes,
CN21, Short_Name,Yes,
CN22,CIF,Yes,
CN22,Nombre_Cliente,Yes,
CN22, Short_Name,Yes,
CN23,CIF,Yes,
CN23,Nombre_Cliente,Yes,
CN23, Short_Name,Yes,
CN24,CIF,Yes,
CN24,Nombre_Cliente,Yes,
CN24, Short_Name,Yes,
CN25,CIF,Yes,
CN25,Nombre_Cliente,Yes,
CN25, Short_Name,Yes,
CN26,CIF,Yes,
CN26,Nombre_Cliente,Yes,
CN26, Short_Name,Yes,
CN27,CIF,Yes,
CN27,Nombre_Cliente,Yes,
CN27, Short_Name,Yes,
CN28,CIF,Yes,
CN28,Nombre_Cliente,Yes,
CN28, Short_Name,Yes,
CJ01,CIF,Yes,
CJ01,Nombre_Cliente,Yes,
CJ01, Short_Name,Yes,
CJ01, Fvenc_Inicio,Yes,
CJ01, Fvenc_Fin,Yes,
CJ02,CIF,Yes,
CJ02,Nombre_Cliente,Yes,
CJ02, Short_Name,Yes,
CJ02, Fvenc_Inicio,Yes,
CJ02, Fvenc_Fin,Yes,
CJ03,CIF,Yes,
CJ03,Nombre_Cliente,Yes,
CJ03, Short_Name,Yes,
CJ03, Fvenc_Inicio,Yes,
CJ03, Fvenc_Fin,Yes,
CJ04,CIF,Yes,
CJ04,Nombre_Cliente,Yes,
CJ04, Short_Name,Yes,
CJ05,CIF,Yes,
CJ05,Nombre_Cliente,Yes,
CJ05, Short_Name,Yes,
CJ05, Fvenc_Inicio,Yes,
CJ05, Fvenc_Fin,Yes,
CJ06,CIF,Yes,
CJ06,Nombre_Cliente,Yes,
CJ06, Short_Name,Yes,
CJ07,CIF,Yes,
CJ07,Nombre_Cliente,Yes,
CJ07, Short_Name,Yes,
CJ08,CIF,Yes,
CJ08,Nombre_Cliente,Yes,
CJ08, Short_Name,Yes,
CJ09,CIF,Yes,
CJ09,Nombre_Cliente,Yes,
CJ09, Short_Name,Yes,
CJ10,CIF,Yes,
CJ10,Nombre_Cliente,Yes,
CJ10, Short_Name,Yes,
CJ11,CIF,Yes,
CJ11,Nombre_Cliente,Yes,
CJ11, Short_Name,Yes,
CJ12,CIF,Yes,
CJ12,Nombre_Cliente,Yes,
CJ12, Short_Name,Yes,
CJ13,CIF,Yes,
CJ13,Nombre_Cliente,Yes,
CJ13, Short_Name,Yes,
CJ14,CIF,Yes,
CJ14,Nombre_Cliente,Yes,
CJ14, Short_Name,Yes,
CJ15,CIF,Yes,
CJ15,Nombre_Cliente,Yes,
CJ15, Short_Name,Yes,
CJ16,CIF,Yes,
CJ16,Nombre_Cliente,Yes,
CJ16, Short_Name,Yes,
CJ17,CIF,Yes,
CJ17,Nombre_Cliente,Yes,
CJ17, Short_Name,Yes,
CJ18,CIF,Yes,
CJ18,Nombre_Cliente,Yes,
CJ18, Short_Name,Yes,
CJ19,CIF,Yes,
CJ19,Nombre_Cliente,Yes,
