IDSistema,IDRVI,IDCM,IDClaseDocumental
,FB01,CN01,01.01.01.01.01
,FB23,CN02,01.01.01.01.02
,FB13,CN03,01.01.01.01.03
,FA46,CN04,01.01.01.02.01
,FA50,CN05,01.01.01.02.02
,FA47,CN06,01.01.01.02.03
,FA43,CN07,01.01.01.02.04
,FB20,CN08,01.01.01.03
,FB24,CN09,01.01.01.04
,FF07,CN10,01.01.01.05
,FB30,CN11,01.01.01.06.01
,FB27,CN12,01.01.01.06.02
,FB29,CN12,01.01.01.06.03
,FC44,CN14,01.01.01.06.04
,FB28,CN15,01.01.01.06.05
,FB49,CN16,01.01.01.06.06
,FB16,CN17,01.01.01.07
,FA29,CN18,01.01.01.08
,FB05,CN19,01.01.01.09
,FC01,CN20,01.01.01.10
,FC11,CN21,01.01.01.11
,HR01,CN22,01.01.01.12
,FF10,CN23,01.01.01.11.01
,FB51,CN24,01.01.01.11.02
,FB54,CN25,01.01.01.12.01
,FB55,CN26,01.01.01.12.02
,FB21,CN27,01.01.01.13
,FC21,CN28,01.01.01.14
,FB23,CJ01,01.01.01.01.02
,FB01,CJ02,01.01.01.01.01
,FB13,CJ03,01.01.01.01.03
,FB20,CJ04,01.01.01.03
,FB24,CJ05,01.01.01.04
,FF07,CJ06,01.01.01.05
,FB30,CJ07,01.01.01.06.01
,FB27,CJ08,01.01.01.06.02
,FB29,CJ09,01.01.01.06.03
,FC44,CJ10,01.01.01.06.04
,FB28,CJ11,01.01.01.06.05
,FB49,CJ12,01.01.01.06.06
,FC39,CJ13,01.01.02.06.01
,FC40,CJ14,01.01.02.06.02
,FC41,CJ15,01.01.02.06.03
,FA54,CJ16,01.01.02.06.04
,FB56,CJ17,01.01.02.06.05
,CA18,CJ18,01.01.02.06.06
,FB22,CJ19,01.01.02.07
,FA29,CJ20,01.01.01.08
,FB08,CJ21,01.01.02.09.01
,FB12,CJ22,01.01.02.09.02
,FB02,CJ23,01.01.02.09.03
,FF10,CJ24,01.01.01.11.01
,FB36,CJ25,01.01.02.10.02
,FB51,CJ26,01.01.01.11.02
,HR01,CJ27,01.01.01.12
,FB54,CJ28,01.01.01.12.01
,FB55,CJ29,01.01.01.12.02
,FA46,CJ30,01.01.01.02.01
,FA50,CJ31,01.01.01.02.02
,FA47,CJ32,01.01.01.02.03
,FA48,CJ33,01.01.02.13.04
,FA49,CJ34,01.01.02.13.05
,FA43,CJ35,01.01.01.02.04
,FB14,CJ36,01.01.02.14
,FB26,CJ37,01.01.02.15
,FF29,CJ38,01.01.02.16
,FB21,CJ39,01.01.01.13
,FC01,CJ40,01.01.01.10
,FC11,CJ41,01.01.01.11
,FB04,CJ42,01.01.02.20.01
,FG06,CJ43,01.01.02.20.02
,FC38,CJ44,01.01.02.20.03
,FB05,CJ45,01.01.01.09
,FC21,CJ47,01.01.01.14
,FG05,CJ48,01.01.02.20.07
,FF17,PT01,01.02.01.01.01
,FF09,PT02,01.02.01.01.02
,FJ00,PT03,01.02.01.01.03
,FC14,PT04,01.02.01.02.01
,FF16,PT05,01.02.01.02.02
,FF04,PT06,01.02.01.02.03
